模拟测试资料，仅用于智能体测试，不具任何法律效力
文件名,格式,字节数,属性
00_使用说明与材料清单.docx,docx,40463,模拟测试
01_企业及实控人信用情况_模拟.docx,docx,39702,模拟测试
02_营业执照信息页_模拟.docx,docx,39486,模拟测试
03_公司章程_模拟.docx,docx,39449,模拟测试
04_企业简介_模拟.docx,docx,39687,模拟测试
05_企查查天眼查报告_模拟.docx,docx,39798,模拟测试
06_授信申请表_模拟.docx,docx,39545,模拟测试
07_资产负债表_模拟.csv,csv,1049,模拟测试
08_利润表_模拟.csv,csv,691,模拟测试
09_现金流量表_模拟.csv,csv,483,模拟测试
10_审计报告_模拟.docx,docx,39614,模拟测试
11_企业征信报告摘要_模拟.docx,docx,39509,模拟测试
12_实际控制人征信报告摘要_模拟.docx,docx,39529,模拟测试
13_银行融资明细_模拟.csv,csv,580,模拟测试
14_前五大客户和供应商清单_模拟.csv,csv,1240,模拟测试
15_销售合同_模拟.docx,docx,39368,模拟测试
16_采购合同_模拟.docx,docx,39361,模拟测试
17_在手订单_模拟.csv,csv,794,模拟测试
18_银行流水_模拟.csv,csv,2609,模拟测试
19_纳税申报表_模拟.csv,csv,418,模拟测试
20_应收账款和存货明细_模拟.csv,csv,749,模拟测试
21_对外投资和对外担保清单_模拟.csv,csv,421,模拟测试
22_关联企业信息_模拟.docx,docx,39250,模拟测试
23_担保公司资料_模拟.docx,docx,39384,模拟测试
24_抵押物权属及评估报告_模拟.docx,docx,39604,模拟测试
25_风险补偿基金资料_模拟.docx,docx,39443,模拟测试
26_客户经理现场调查记录_模拟.docx,docx,39837,模拟测试
27_结构化主数据_模拟.json,json,2919,模拟测试
